source,target
48,14
48,49
2,32
28,27
10,46
20,3
20,2
20,7
20,37
54,56
3,6
3,33
3,20
28,26
42,32
54,21
42,15
27,28
17,50
27,26
27,32
27,36
27,37
27,44
59,60
59,35
59,36
59,37
60,59
15,42
23,11
26,27
26,25
26,28
38,37
38,35
33,3
33,20
33,14
33,18
32,18
32,15
32,2
55,21
55,13
55,56
55,53
55,17
60,34
60,35
60,36
60,37
13,46
29,45
11,58
11,23
28,47
58,11
58,13
21,55
21,56
21,13
14,48
46,13
4,58
6,3
46,10
44,39
44,37
37,59
37,60
37,44
37,38
37,36
37,35
37,34
37,26
36,34
36,35
36,37
36,60
36,59
36,21
50,17
14,48
10,13
10,17
10,33
45,29
