source,target
19,23
19,44
19,34
19,12
13,27
13,32
13,51
13,61
10,33
10,43
10,20
10,18
5,18
5,60
5,20
5,3
28,9
28,24
28,5
28,36
42,53
42,21
42,57
42,2
46,13
46,27
46,34
46,50
3,58
3,30
3,8
3,1
1,15
1,30
1,45
1,2
22,21
22,61
22,55
22,30
26,48
26,14
26,29
26,16
42,39
38,40
38,41
38,2
27,7
27,21
27,8
27,32
23,40
23,60
23,7
23,51
54,3
54,23
54,5
54,7
29,9
29,15
29,37
29,12
43,53
43,12
43,7
58,42
58,38
58,8
58,26
55,3
55,17
55,45
55,61
15,60
15,17
15,42
15,3
39,7
39,15
39,38
39,42
33,10
33,35
33,3
33,22
21,17
21,49
21,60
21,31
60,12
60,42
60,7
60,4
8,21
8,22
8,52
8,47
56,28
56,6
56,53
56,3
53,5
53,8
53,19
53,33
59,22
59,43
59,31
59,7
6,3
6,7
6,37
6,11
30,10
30,23
30,4
30,18
11,22
11,21
11,5
11,9
4,27
4,38
4,59
4,6
20,9
20,4
20,19
20,53
48,1
48,10
48,20
48,30
7,5
7,46
7,15
7,52
32,60
32,55
32,30
32,2
2,24
2,13
2,26
2,5
44,39
44,37
44,27
44,55
37,40
37,28
37,31
37,20
36,3
36,5
36,6
36,23
50,32
50,60
50,15
50,23
16,17
31,27
33,20
21,34
14,13
14,4
14,44
14,33
14,3
45,33
45,41
45,4
45,9
